BreedName,AltBreedName,Group1,Group2,MaleWtKg,Temperment,Watchdog,Type of home required ,Barking ability,Kid friendly,Eating habits,Independence ,activity level,Shedding,BreedName
Black Russian Terrier,,Working,Guardian,51,"Brave, Confident, Energetic, Hardy, Lively, Stable",yes,independent house,high,yes,meat rich,not independent,high,low,Black Russian Terrier
Bloodhound,,Hound,Scenthound,46,"Affectionate, Even-tempered, Gentle, Stubborn, Independent",no,ranch,high,yes,not particular,not independent,high,frequent,Bloodhound
Blue Lacy,,Sporting,Gun,18,"Active, Alert, Bold, Devoted, Intelligent, Intense",yes,ranch,high,yes,meat rich,not independent,high,seasonal,Blue Lacy
Bluetick Coonhound,Bluetick,Hound,Scenthound,28,"Friendly, Active, Gentle",no,ranch,high,yes,meat rich,not independent,high,low,Bluetick Coonhound
Boerboel,,Working,Guardian,80,"Confident, Dominant, Intelligent, Obedient, Territorial",yes,ranch,moderate,yes,meat rich,not independent,medium,seasonal,Boerboel
Bolognese,,Working,Companion,3,"Docile, Enterprising, Loyal, Reserved, Serious",no,,,,,,,,Bolognese
Border Collie,,Herding,Herding,17,"Intelligent, Energetic, Alert, Responsive, Tenacious, Loyal, Protective",yes,,,,,,,,Border Collie
Border Terrier,,Terrier,Terrier,7,"Affectionate, Alert, Even-tempered, Fearless, Intelligent, Obedient",yes,,,,,,,,Border Terrier
Borzoi,,Hound,Sight,41,"Athletic, Gentle, Independent, Intelligent, Quiet, Respectful",no,,,,,,,,Borzoi
Boston Terrier,Boston Bull,Non Sporting,Companion,9,"Affectionate, Aggressive, Friendly, Gentle, Intelligent, Lively, Playful",no,,,,,,,,Boston Terrier
Bouvier des Flanders,,Herding,Herding,42,"Familial, Gentle, Intelligent, Loyal, Protective, Rational",yes,,,,,,,,Bouvier des Flanders
Boxer,,Working,Guardian,30,"Brave, Bright, Confident, Energetic, Fearless, Friendly, Intelligent, Loyal, Playful",yes,,,,,,,,Boxer
Boykin Spaniel,,Sporting,Gun,15,"Companionable, Eager, Energetic, Friendly, Intelligent, Trainable",no,,,,,,,,Boykin Spaniel
Briard,,Herding,Gun,35,"Faithful, Fearless, Intelligent, Loyal, Obedient, Protective",yes,,,,,,,,Briard
Brittany Spaniel,,Sporting,Gun,17,"Alert, Independent, Intelligent, Responsive, Social",no,,,,,,,,Brittany Spaniel
