BreedName,Group1,Group2,WtKg,Country,Maintainence cost per month,Temperment,Watchdog,Type of home required ,Barking ability,Kid friendly,Eating habits,Independence ,activity level,Shedding,Weather,hypoallergenic
Kombai,Hunting,Guardian,25,India,2000 Rs - 3000 Rs,"Aggressive, Savage",,ranch,high,yes,meat rich,very independent,high,low,hot,no
Komondor,Working,Guardian,59,not available in India,,"Affectionate, Calm, Fearless, Gentle, Independent, Steady",yes,ranch,high,no,not particular,not independent,low,seasonal,cold,yes
Kuvasz,Working,Guardian,49,not available in India,,"Clownish, Independent, Intelligent, Loyal, Patient, Protective",yes,ranch,moderate,no,meat rich,not independent,high,frequent,cold,no
Lakeland Terrier,Terrier,Terrier,8,not available in India,,"Independent, Bold, Confident, Friendly, Intelligent, Trainable",no,apartment ,high,yes,not particular,not independent,high,low,warm,no
Lancashire Heeler,Herding,Herding,5,not available in India,,"Alert, Clever, Friendly, Intelligent",no,ranch,low,no,not particular,moderate,high,seasonal,warm,no
Leonberger,Working,Guardian,64,not available in India,,"Adaptable, Companionable, Fearless, Loving, Loyal, Obedient",yes,ranch,moderate,yes,meat rich,not independent,high,frequent,cold,no
Lhasa Apso,Non Sporting,Companion,6,India,4000 Rs - 5000 Rs,"Alert, Assertive, Devoted, Friendly, Intelligent, Lively, Obedient, Playful, Spirited, Steady",no,apartment ,high,yes,not particular,very independent,high,seasonal,warm,yes
Lowchen,Non Sporting,Companion,6,not available in India,,"Active, Familial, Friendly, Happy, Playful",no,apartment ,high,yes,not particular,not independent,high,seasonal,warm,no
Maltese,Toy,Companion,4,India,2000 Rs - 3000 Rs,"Active, Docile, Easygoing, Gentle, Intelligent, Playful, Responsive, Sweet tempered",no,apartment ,low,no,not particular,not independent,medium,low,warm,yes
Manchester Terrier,Terrier,Terrier,6,not available in India,,"Active, Alert, Devoted, Discerning, Quiet, Loyal, Intelligent",no,apartment ,high,no,not particular,moderate,high,seasonal,hot,no
Maremma Sheepdog,Working,Guardian,38,not available in India,,"Alert, Determined, Dignified, Friendly, Intelligent, Loyal",yes,ranch,moderate,yes,meat rich,moderate,high,seasonal,cold,no
McNab,Herding,Herding,23,not available in India,,"Friendly, Hard working, Obedient, Protective, Sociable, Well mannered",no,ranch,moderate,yes,meat rich,very independent,medium,low,hot,no
Miniature Pinscher,Toy,Companion,5,not available in India,,"Clever, Energetic, Friendly, Outgoing, Playful, Responsive, Intelligent",no,apartment ,low,no,meat rich,not independent,high,low,warm,no
Mountain Cur,Working,Scenthound,20,not available in India,,"Intelligent, Protective",yes,ranch,high,yes,meat rich,very independent,high,low,warm,no
Mudhol Hound,Hunting,Guardian,25,India,2000 Rs - 3000 Rs,"Loyal, Graceful, Courageous, Elegant",yes,ranch,high,no,meat rich,very independent,high,low,hot,no
Munsterlander,Sporting,Gun,20,not available in India,,"Intelligent, Trainable, Attentive, Mischevious",no,ranch,moderate,yes,not particular,very independent,high,seasonal,cold,no
Neapolitan Mastiff,Working,Guardian,60,India,5000 Rs - 7000 Rs,"Protective, Dominant, Fearless, Obedient, Stubborn, Trainable",yes,ranch,low,yes,meat rich,not independent,medium,seasonal,warm,no
Newfoundland Dog,Working,Guardian,65,India,7000 Rs - 10000 Rs,"Cheerful, Courageous, Intelligent, Loyal, Social, Sweet, Gentle",yes,ranch,high,yes,meat rich,not independent,medium,frequent,cold,no
Norfolk Terrier,Terrier,Terrier,5,not available in India,,"Companionable, Fearless, Happy, Lovable, Self confident, Spirited, Intelligent",no,apartment ,moderate,yes,not particular,moderate,high,low,warm,no
Norwegian Buhund,Herding,Northern,16,not available in India,,"Agile, Courageous, Energetic, Friendly, Fun loving",yes,independent house,high,yes,meat rich,very independent,high,seasonal,cold,no
Norwegian Elkhound,Hound,Northern,26,not available in India,,"Alert, Bold, Hardy, Loyal, Playful, Strong willed, Intelligent",yes,apartment ,high,yes,meat rich,not independent,high,frequent,cold,no
Norwegian Lundehund,Non Sporting,Northern,8,not available in India,,"Alert, Energetic, Loyal, Protective",yes,ranch,low,yes,meat rich,not independent,high,frequent,cold,no
Norwich Terrier,Terrier,Terrier,5,not available in India,,"Affectionate, Energetic, Hardy, Intelligent, Sensitive",no,apartment ,high,yes,not particular,not independent,high,low,warm,no
Nova Scotia Duck-Tolling Retriever,Sporting,Gun Dogs,20,not available in India,,"Affectionate, Alert, Courageous, Energetic, Gentle, Playful, Responsive",yes,ranch,high,yes,not particular,not independent,high,seasonal,warm,no
Old English Sheepdog,Herding,Herding,39,not available in India,,"Adaptable, Bubbly, Intelligent, Loving, Playful, Sociable, Protective",yes,apartment ,low,yes,meat rich,not independent,high,low,cold,no
Otterhound,Hound,Scenthound,41,not available in India,,"Amiable, Boisterous, Even tempered",no,ranch,low,yes,not particular,very independent,high,frequent,cold,no
Papillon,Toy,Companion,5,not available in India,,"Alert, Energetic, Friendly, Happy, Hardy, Intelligent",no,apartment ,low,no,not particular,not independent,high,low,warm,no
Patterdale Terrier (Fell Terrier),Terrier,Terrier,6,not available in India,,"Bold, Confident, Energetic, Friendly, Inquisitive, Intelligent",no,independent house,high,no,not particular,moderate,high,seasonal,warm,no
Pekingese,Toy,Companion,4,India,5000 Rs - 7000 Rs,"Affectionate, Aggressive, Good-natured, Intelligent, Opinionated, Stubborn",no,apartment ,high,no,not particular,moderate,low,frequent,cold,no
Peruvian Inca Orchid,Hound,Sight,10,not available in India,,"Affectionate, Alert, Intelligent, Lively, Noble, Protective",yes,ranch,high,yes,meat rich,moderate,high,low,warm,yes
Petit Basset Griffon Vendeen,Hound,Scenthound,16,not available in India,,"Active, Extroverted, Friendly, Happy, Independent, Lively, Intelligent",no,apartment ,high,yes,not particular,moderate,high,frequent,warm,no
Pharaoh Hound,Hound,Sight,23,not available in India,,"Active, Affectionate, Intelligent, Playful, Sociable, Trainable",no,apartment ,high,yes,not particular,not independent,low,low,warm,no
Pit Bull Terrier,Terrier,Terrier,23,India,2000 Rs - 3000 Rs,"Affectionate, Aggressive, Clownish, Courageous, Friendly, Intelligent, Loyal, Obedient, Strong willed, Stubborn",no,independent house,moderate,yes,meat rich,not independent,high,frequent,warm,no
Plott Hound,Hound,Scenthound,26,not available in India,,"Alert, Bold, Courageous, Loyal",no,ranch,low,no,meat rich,not independent,high,low,warm,no
Podengo Portugueso,Hound,Sight,5,not available in India,,"Active, Companionable, Friendly, Hardy, Lively, Loyal",no,apartment ,high,yes,meat rich,moderate,high,seasonal,warm,no
Polish Lowland Sheepdog,Herding,Herding,19,not available in India,,"Agile, Even-tempered, Lively, Perceptive, Self confident",yes,apartment ,low,yes,meat rich,moderate,high,low,warm,no
Pomeranian,Toy,Companion,2,India,2000 Rs - 3000 Rs,"Active, Extroverted, Friendly, Intelligent, Lively, Playful, Sociable",no,apartment ,high,no,not particular,not independent,medium,frequent,cold,no
Poodle,Non Sporting,Gun,26,India,4000 Rs - 5000 Rs,"Active, Alert, Faithful, Instinctual, Intelligent, Trainable",yes,apartment ,low,yes,not particular,not independent,high,low,warm,yes
Portuguese Water Dog,Working,Gun,22,India,4000 Rs - 5000 Rs,"Brave, Docile, Impetuous, Intelligent, Obedient, Quarrelsome",yes,apartment ,moderate,yes,not particular,not independent,high,low,cold,yes
Presa Canario,Working,Guardian,40,not available in India,,"Calm, Dominant, Gentle, Strong willed, Suspicious",yes,ranch,high,yes,meat rich,very independent,high,seasonal,warm,no
Pug,Toy,Companion,8,India,4000 Rs - 5000 Rs,"Affectionate, Cheerful, Courageous, Gentle, Intelligent, Friendly, Outgoing, Playful, Loyal",no,apartment ,low,yes,not particular,not independent,medium,frequent,warm,no
Puli,Herding,Herding,14,not available in India,,"Agile, Energetic, Faithful, Intelligent, Loyal, Obedient",yes,apartment ,high,yes,meat rich,not independent,high,low,warm,yes
Pumi,Herding,Herding,13,not available in India,,"Active, Intelligent, Lively, Protective, Reserved, Vocal",no,ranch,moderate,yes,meat rich,very independent,high,seasonal,warm,no
Rampur greyhound,Hunting,Guardian,30,India,2000 Rs - 3000 Rs,"Loyal, Protective, Gentle",yes,ranch,high,yes,meat rich,moderate,high,low,hot,no
Rajapalayam,Hunting,Guardian,22,India,3000 Rs - 15000 Rs,"Affectionate, Devoted, Loyal",yes,ranch,high,yes,meat rich,very independent,high,low,hot,no
Rat Terrier,Terrier,Terrier,11,not available in India,,"Affectioante, Alert, Inquisitive, Lively, Loving",no,apartment ,low,yes,not particular,moderate,high,frequent,warm,no
Redbone Coonhound,Hound,Scenthound,28,not available in India,,"Affectionate, Companionable, Energetic, Familial, Independent, Unflappable",no,apartment ,high,yes,meat rich,not independent,high,low,warm,no
Rhodesian Ridgeback,Hound,Sight,39,India,2000 Rs - 3000 Rs,"Dignified, Intelligent, Loyal, Mischevious, Sensitive, Strong willed",no,ranch,low,yes,meat rich,not independent,high,frequent,warm,no
Rottweiler,Working,Guardian,51,India,3000 Rs - 4000 Rs,"Alert, Courageous, Fearless, Good natured, Independent, Intelligent, Loyal, Protective",yes,ranch,high,yes,meat rich,not independent,high,frequent,warm,no
Saint Bernard,Working,Guardian,66,India,5000 Rs - 7000 Rs,"Friendly, Gentle, Independent, Intelligent, Outgoing, Quiet, Social",no,ranch,low,yes,meat rich,not independent,medium,frequent,cold,no
Saluki,Hound,Sight,21,India,3000 Rs - 4000 Rs,"Aloof, Intelligent, Quiet, Reserverd, Loyal",no,ranch,low,yes,not particular,not independent,high,low,warm,no
Samoyed,Working,Northern,26,not available in India,,"Alert, Lively, Friendly, Intelligent, Playful, Sociable, Stubborn",yes,ranch,moderate,yes,not particular,not independent,high,frequent,cold,no
Sarplaninac,Working,Guardian,33,not available in India,,"Independent, Calm, Devoted, Intelligent, Protective, Reliable",yes,ranch,high,yes,meat rich,very independent,high,frequent,cold,no
Schipperke,Non Sporting,Companion,7,not available in India,,"Agile, Confident, Curious, Faithful, Fearless, Independent, Intelligent",no,apartment ,high,yes,not particular,moderate,high,seasonal,warm,no
Miniature Schnauzer,Terrier,Companion,8,not available in India,,"Devoted, Good natured, Intelligent, Lively, Playful, Trainable",no,apartment ,moderate,no,not particular,very independent,high,low,warm,yes
Schnauzer,Working,Herding,17,not available in India,,"Devoted, Good natured, Intelligent, Lively, Playful, Trainable",yes,apartment ,low,yes,not particular,not independent,high,low,warm,yes
Scottish Deerhound,Hound,Sight,42,not available in India,,"Dignified, Docile, Friendly, Gentle, Polite, Quiet",no,ranch,low,yes,meat rich,not independent,high,frequent,warm,no
Scottish Terrier Scottie,Terrier,Terrier,9,not available in India,,"Independent, Fiesty, Alert, Playful, Quick, Self assured",no,apartment ,high,yes,not particular,moderate,high,low,warm,yes
Sealyham Terrier,Terrier,Terrier,9,not available in India,,"Alert, Calm, Even tempered, Fearless, Friendly, Intelligent",no,apartment ,low,yes,not particular,not independent,high,frequent,warm,no
Shar Pei,Non Sporting,Northern,22,India,3000 Rs - 4000 Rs,"Affectionate, Devoted, Independent, Loving, Reserved, Suspicious",no,apartment ,high,no,not particular,very independent,low,frequent,warm,no
Shetland Sheepdog Sheltie,Herding,Herding,9,not available in India,,"Affectionate, Friendly, Gentle, Intelligent, Lively, Playful, Responsive",yes,ranch,low,yes,meat rich,not independent,high,frequent,cold,no
Shiba Inu,Non Sporting,Companion,10,not available in India,,"Alert, Charming, Confident, Faithful, Fearless, Keen, Outgoing",yes,apartment ,high,no,not particular,very independent,high,frequent,cold,no
Shih Tzu,Toy,Companion,6,India,2000 Rs - 3000 Rs,"Active, Courageous, Friendly, Gentle, Happy, Intelligent, Lively, Outgoing, Playful",no,apartment ,low,yes,not particular,moderate,low,seasonal,warm,yes
Silky Terrier,Toy,Terrier,5,not available in India,,"Alert, Friendly, Inquisitive, Joyful, Quick, Responsive, Intelligent",no,apartment ,high,no,not particular,moderate,high,low,warm,no
Skye Terrier,Terrier,Terrier,17,not available in India,,"Loyal, Fearless, Friendly, Good tempered, Intelligent",yes,apartment ,high,yes,not particular,not independent,medium,seasonal,warm,no
Sloughi,Hound,Sight,28,not available in India,,"Alert, Faithful, Intelligent, Sensitive, Independent, Playful, Sweet",yes,apartment ,moderate,yes,meat rich,moderate,high,seasonal,hot,no
South Russian Ovtcharka,Herding,Herding,49,not available in India,,"Active, Balanced, Courageous, Lively, Nervous",yes,ranch,moderate,yes,meat rich,very independent,high,frequent,cold,no
Staffordshire Bull Terrier,Terrier,Terrier,14,not available in India,,"Affectionate, Bold, Courageous, Fearless, Intelligent, Reliable",no,independent house,moderate,yes,not particular,not independent,medium,seasonal,warm,no
Sussex Spaniel,Sporting,Gun,19,not available in India,,"Calm, Cheerful, Companionable, Devoted, Friendly, Sociable",no,apartment ,high,yes,meat rich,not independent,low,seasonal,warm,no
Swedish Vallhund,Herding,Herding,13,not available in India,,"Alert, Energetic, Fearless, Friendly, Watchful",yes,independent house,low,yes,meat rich,moderate,high,frequent,cold,no
Tibetan Mastiff,Working,Guardian,71,India,7000 Rs - 10000 Rs,"Aloof, Protective, Strong willed, Stubborn, Courageous, Loyal",yes,ranch,low,yes,meat rich,very independent,high,low,cold,no
Tibetan Spaniel,Non Sporting,Companion,6,India,3000 Rs - 4000 Rs,"Intelligent, Assertive, Aloof, Happy, Independent, Willful",yes,apartment ,high,yes,not particular,not independent,medium,seasonal,warm,no
Tibetan Terrier,Non Sporting,Companion,10,India,3000 Rs - 4000 Rs,"Affectionate, Amiable, Energetic, Gentle, Reserved, Sensitive, Intelligent",no,apartment ,low,yes,not particular,not independent,high,low,cold,no
Tosa Inu,Working,Guardian,65,not available in India,,"Aggressive, Brave, Fearless, Intelligent, Sensitive, Suspicious",yes,ranch,high,no,meat rich,very independent,high,low,warm,no
Toy Fox Terrier,Toy,Terrier,2,not available in India,,"Alert, Friendly, Intelligent, Loyal, Playful, Spirited",no,apartment ,high,yes,not particular,not independent,high,frequent,warm,no
Treeing Walker Coonhound,Hound,Scenthound,28,not available in India,,"Affectionate, Clever, Confident, Loving, Trainable",no,ranch,high,yes,meat rich,not independent,high,seasonal,warm,no
Vikhan Sheepdog,Hunting,Guardian,40,not available in India,,"Intelligent, Fearless, Fierce, Territorial",yes,ranch,high,yes,meat rich,very independent,high,seasonal,cold,no
Vizsla,Sporting,Gun,21,not available in India,,"Affectionate, Cheerful, Energetic, Gentle, Intelligent, Playful, Protective, Quiet",no,ranch,high,yes,meat rich,not independent,high,low,warm,no
Weimaraner,Sporting,Gun,29,India,3000 Rs - 4000 Rs,"Alert, Aloof, Energetic, Fast, Intelligent, Powerful, Steady, Stubborn, Social",no,ranch,low,yes,meat rich,not independent,high,frequent,warm,no
Welsh Springer Spaniel,Sporting,Gun,18,not available in India,,"Affectionate, Loyal, Active, Friendly, Playful, Stubborn, Intelligent",yes,apartment ,high,yes,meat rich,not independent,high,seasonal,warm,no
Welsh Terrier,Terrier,Terrier,9,not available in India,,"Alert, Friendly, Intelligent, Spirited, Independent, Loving",no,independent house,high,yes,not particular,not independent,high,low,warm,no
West Highland White Terrier Westie,Terrier,Terrier,8,not available in India,,"Affectionate, Alert, Courageous, Intelligent, Friendly, Hardy, Independent",no,apartment ,high,yes,not particular,not independent,high,frequent,warm,yes
Wheaten Terrier,Terrier,Terrier,18,not available in India,,"Affectionate, Energetic, Faithful, Intelligent, Playful, Spirited",yes,apartment ,moderate,yes,not particular,not independent,high,low,warm,yes
Whippet,Hound,Sight,16,not available in India,,"Affectionate, Friendly, Gentle, Intelligent, Lively, Quiet",no,apartment ,low,yes,meat rich,not independent,high,low,warm,no
Wire haired Pointing Griffon,Sporting,Gun,25,not available in India,,"Gentle, Loyal, Proud, Trainable, Vigilant, Intelligent",yes,ranch,high,yes,meat rich,not independent,high,low,warm,no
Xoloitzcuintle,Non Sporting,Sight,11,not available in India,,"Aleret, Calm, Cheerful, Companionable, Loyal, Protective",no,apartment ,high,no,not particular,not independent,medium,low,hot,yes
Yorkshire Terrier Yorkie,Toy,Companion,3,India,3000 Rs - 4000 Rs,"Alert, Courageous, Energetic, Independent, Intelligent, Loyal, Playful",no,apartment ,moderate,no,not particular,not independent,high,low,hot,yes
