BreedName,Group1,Group2,WtKg,Country,Maintainence cost per month,Temperment,Watchdog,Type of home required ,Barking ability,Kid friendly,Eating habits,Independence ,activity level,Shedding,Weather,hypoallergenic
Black Labrador Retriever,Sporting,Gun,32 kg,India,3000 Rs - 4000 Rs,"Affectionate, Alert, Cheerful, Energetic, Friendly, Gentle, Intelligent, Loving, Loyal, Outgoing, Playful, Responsive, Social",no,ranch,high,yes,not particular,not independent,high,frequent,warm,no
Black Mouth Cur,Hound,Scenthound,32 kg,not available in India,,"Active, Fearless, Kind, Loyal, Protective, Trainable",no,ranch,high,yes,not particular,not independent,high,seasonal,warm,no
Black Russian Terrier,Working,Guardian,51 kg,not available in India,,"Brave, Confident, Energetic, Hardy, Lively, Stable",yes,independent house,high,yes,meat rich,not independent,high,low,cold,no
Bloodhound,Hound,Scenthound,46 kg,India,5000 Rs - 8000 Rs,"Affectionate, Even tempered, Gentle, Stubborn, Independent",no,ranch,high,yes,not particular,not independent,high,frequent,warm,no
Blue Lacy,Sporting,Gun,18 kg,not available in India,,"Active, Alert, Bold, Devoted, Intelligent, Intense",yes,ranch,high,yes,meat rich,not independent,high,seasonal,warm,no
Bluetick Coonhound,Hound,Scenthound,28 kg,not available in India,,"Friendly, Active, Gentle",no,ranch,high,yes,meat rich,not independent,high,low,warm,no
Boerboel,Working,Guardian,80 kg,India,2000 Rs - 3000 Rs,"Confident, Dominant, Intelligent, Obedient, Territorial",yes,ranch,moderate,yes,meat rich,not independent,medium,seasonal,warm,no
Bolognese,Working,Companion,3 kg,not available in India,,"Docile, Enterprising, Loyal, Reserved, Serious",no,ranch,moderate,yes,not particular,not independent,medium,seasonal,warm,no
Border Collie,Herding,Herding,17 kg,India,5000 Rs - 7000 Rs,"Intelligent, Energetic, Alert, Responsive, Tenacious, Loyal, Protective",yes,ranch,low,yes,not particular,not independent,high,seasonal,warm,no
Border Terrier,Terrier,Terrier,7 kg,India,3000 Rs - 4000 Rs,"Affectionate, Alert, Even tempered, Fearless, Intelligent, Obedient",yes,apartment ,low,yes,not particular,not independent,high,seasonal,hot,no
Borzoi,Hound,Sight,41 kg,not available in India,,"Athletic, Gentle, Independent, Intelligent, Quiet, Respectful",no,apartment ,low,yes,meat rich,not independent,low,frequent,cold,no
Boston Terrier,Non Sporting,Companion,9 kg,not available in India,,"Affectionate, Aggressive, Friendly, Gentle, Intelligent, Lively, Playful",no,apartment ,moderate,yes,not particular,moderate,high,low,warm,no
Bouvier des Flanders,Herding,Herding,42 kg,not available in India,,"Familial, Gentle, Intelligent, Loyal, Protective, Rational",yes,independent house,high,yes,not particular,not independent,high,low,warm,no
Boxer,Working,Guardian,30 kg,India,2000 Rs - 3000 Rs,"Brave, Bright, Confident, Energetic, Fearless, Friendly, Intelligent, Loyal, Playful",yes,apartment ,high,yes,meat rich,not independent,high,frequent,warm,no
Boykin Spaniel,Sporting,Gun,15 kg,not available in India,,"Companionable, Eager, Energetic, Friendly, Intelligent, Trainable",no,ranch,moderate,yes,not particular,moderate,high,frequent,warm,no
Briard,Herding,Gun,35 kg,not available in India,,"Faithful, Fearless, Intelligent, Loyal, Obedient, Protective",yes,independent house,high,yes,meat rich,moderate,high,low,cold,no
Brittany Spaniel,Sporting,Gun,17 kg,not available in India,,"Alert, Independent, Intelligent, Responsive, Social",no,ranch,moderate,yes,not particular,not independent,high,seasonal,cold,no
Brussels Griffon,Toy,Companion,4 kg,not available in India,,"Alert, Companionable, Inquisitive,  Sensitive, Watchful",no,apartment ,high,yes,not particular,not independent,high,seasonal,warm,no
Bull Terrier,Terrier,Terrier,28 kg,not available in India,,"Active, Keen, Protective, Sweet tempered, Trainable",yes,apartment ,low,yes,meat rich,not independent,high,seasonal,warm,no
Bullmastiff,Working,Guardian,55 kg,India,5000 Rs - 7000 Rs,"Alert, Calm, Courageous, Devoted, Docile, Powerful, Loyal, Protective, Reliable",yes,independent house,high,yes,meat rich,not independent,low,low,cold,no
Cairn Terrier,Terrier,Terrier,7 kg,not available in India,,"Active, Assertive, Courageous, Fearless, Hardy, Intelligent",yes,apartment ,high,yes,not particular,not independent,high,seasonal,warm,yes
Canaan Dog,Herding,Sight,21 kg,not available in India,,"Alert, Cautious, Devoted, Quick, Vigilant",no,apartment ,moderate,no,meat rich,moderate,high,frequent,warm,no
Cane Corso Mastiff,Working,Guardian,47 kg,India,5000 Rs - 7000 Rs,"Cheerful, Courageous, Loyal, Quiet, Social",yes,ranch,moderate,no,meat rich,not independent,high,seasonal,warm,no
Carolina Dog,,Sight,18 kg,not available in India,,"Adaptable, Gentle, Loyal, Primitive, Reserved",no,ranch,low,yes,not particular,not independent,high,frequent,warm,no
Catahoula Leopard Dog,Herding,Herding,27 kg,not available in India,,"Alert, Courageous, Energetic, Gentle, Independent, Intelligent, Loving, Loyal, Protective",yes,ranch,moderate,yes,not particular,not independent,high,seasonal,warm,no
Cattle Dog,Herding,Herding,21 kg,not available in India,,"Aggressive, Alert, Energetic, Intelligent, Loyal, Protective, Responsive",yes,independent house,low,yes,meat rich,moderate,high,seasonal,warm,no
Caucasian Sheepdog,Working,Guardian,63 kg,not available in India,,"Alert, Calm, Dominant, Powerful, Quick,Strong",yes,ranch,moderate,no,meat rich,moderate,low,frequent,cold,no
Cavalier King Charles Spaniel,Toy,Companion,7 kg,India,2000 Rs - 3000 Rs,"Affectionate, Cheerful, Courageous, Gentle, Intelligent, Social",no,apartment ,moderate,yes,not particular,not independent,medium,seasonal,warm,no
Chesapeake Bay Retriever,Sporting,Gun,33 kg,not available in India,,"Happy, Affectionate, Dominant, Intelligent, Protective, Quiet",no,ranch,moderate,yes,meat rich,not independent,high,frequent,warm,no
Chihuahua,Toy,Companion,2 kg,India,2000 Rs - 3000 Rs,"Alert, Courageous, Devoted, Lively, Intelligent, Quick",no,apartment ,moderate,yes,not particular,not independent,medium,low,hot,no
Chinese Crested Dog,Toy,Companion,4 kg,not available in India,,"Affectionate, Alert, Happy, Lively, Playful, Sweet tempered",no,apartment ,moderate,yes,not particular,not independent,low,low,hot,yes
Chinese Foo Dog,Working,Northern,25 kg,not available in India,,"Friendly, Devoted, Courageous",yes,apartment ,moderate,no,not particular,very independent,medium,seasonal,warm,no
Chinook,Working,Northern,32 kg,not available in India,,"Alert, Calm, Dignified, Friendly, Responsive",yes,apartment ,low,yes,meat rich,not independent,medium,frequent,warm,no
Chocolate Labrador Retriever,Sporting,Gun,32 kg,India,3000 Rs - 4000 Rs,"Affectionate, Alert, Cheerful, Energetic, Friendly, Gentle, Intelligent, Loving, Loyal, Outgoing, Playful, Responsive, Social",no,ranch,high,yes,not particular,not independent,high,frequent,warm,no
Chow Chow,Non Sporting,Northern,26 kg,India,4000 Rs - 5000 Rs,"Aloof, Independent, Loyal, Quiet, Intelligent, Protective, Detached",no,independent house,low,no,not particular,very independent,low,low,cold,no
Cirneco dell Etna,Hound,Sight,11 kg,not available in India,,"Affectionate, Gentle, Lively",no,apartment ,moderate,yes,meat rich,moderate,high,low,warm,no
Clumber Spaniel,Sporting,Gun,32 kg,not available in India,,"Gentle, Loyal, Affectionate, Dignified, Aloof",no,apartment ,low,yes,not particular,not independent,medium,frequent,cold,no
Cockapoo,Sporting,Gun,8 kg,not available in India,,"Affectionate, Alert, Cheerful, Friendly, Intelligent, Loving, Loyal, Outgoing, Playful, Responsive, Social",no,apartment ,low,yes,meat rich,moderate,medium,low,warm,no
Cocker Spaniel,Sporting,Gun,10 kg,India,3000 Rs - 4000 Rs,"Even Tempered, Joyful, Merry, Outgoing, Intelligent, Sociable, Trusting",no,apartment ,moderate,yes,not particular,not independent,high,seasonal,cold,no
Collie,Herding,Herding,31 kg,India,4000 Rs - 5000 Rs,"Friendly, Gentle, Intelligent, Loyal, Protective, Responsive, Social",yes,independent house,high,yes,meat rich,not independent,medium,frequent,cold,no
Coonhound,Hound,Scenthound,55 kg,not available in India,,"Adaptable, Easygoing, Even tempered, Gentle, Lovable, Trusting, Intelligent",no,ranch,high,yes,meat rich,not independent,high,frequent,warm,no
Corgi,Herding,Herding,13 kg,not available in India,,"Active, Affectionate, Alert, Companionable, Devoted, Gentle, Intelligent",yes,apartment ,low,yes,not particular,moderate,high,frequent,warm,no
Coton de Tulear,Non Sporting,Companion,6 kg,not available in India,,"Affectionate, Intelligent, Lively, Playful, Trainable, Vocal",no,apartment ,low,yes,not particular,not independent,medium,low,warm,yes
Curly Coated Retriever,Sporting,Gun,34 kg,not available in India,,"Clever, Independent, Intelligent, Lively, Sensitive, Trainable",no,ranch,high,yes,not particular,very independent,high,seasonal,warm,no
Dachshund,Hound,Scenthound,7 kg,India,2000 Rs - 3000 Rs,"Clever, Courageous, Devoted, Lively, Playful, Stubborn",no,apartment ,high,yes,not particular,moderate,medium,seasonal,warm,no
Dalmatian,Non Sporting,Companion,25 kg,India,5000 Rs - 7000 Rs,"Active, Energetic, Friendly, Intelligent, Outgoing, Playful, Sensitive",no,ranch,low,yes,not particular,moderate,high,frequent,warm,no
Dandi Dinmont Terrier,Terrier,Terrier,10 kg,not available in India,,"Affectionate, Companionable, Determined, Fun loving, Independent, Lively, Intelligent",no,apartment ,low,yes,not particular,not independent,medium,seasonal,warm,no
Doberman Pinscher,Working,Guardian,43 kg,India,4000 Rs - 5000 Rs,"Alert, Energetic, Fearless, Intelligent, Loyal, Obedient",yes,independent house,high,no,meat rich,not independent,medium,frequent,warm,no
Dogo Argentino,Working,Guardian,43 kg,India,3000 Rs - 4000 Rs,"Affectionate, Cheerful, Friendly, Loyal, Protective, Tolerant, Social",yes,ranch,low,no,meat rich,not independent,high,low,warm,no
Dogue de Bordeaux,Working,Guardian,60 kg,India,3000 Rs - 4000 Rs,"Companionable, Courageous, Devoted, Even tempered, Loyal, Vigiliant",yes,apartment ,low,yes,meat rich,not independent,low,seasonal,warm,no
Dutch Shepherd,Herding,Herding,28 kg,not available in India,,"Affectionate, Alert, Loyal, Obedient, Reliable, Trainable",yes,independent house,low,yes,meat rich,not independent,high,frequent,warm,no
English Bulldog,Non Sporting,Companion,25 kg,India,4000 Rs - 5000 Rs,"Aggressive, Courageous, Friendly, Loving, Social, Sweet",no,apartment ,high,yes,not particular,moderate,low,seasonal,warm,no
English Cocker Spaniel,Sporting,Gun,14 kg,India,3000 Rs - 4000 Rs,"Affectionate, Faithful, Friendly, Intelligent, Playful, Quiet, Trainable",yes,apartment ,high,yes,not particular,not independent,high,seasonal,cold,no
English Coonhound,Hound,Scenthound,26 kg,not available in India,,"Active, Energetic, High strung, Loyal",yes,ranch,high,yes,meat rich,not independent,high,seasonal,hot,no
English Pointer,Sporting,Gun,25 kg,not available in India,,"Active, Affectionate, Amiable, Even tempered, Kind, Loyal, Intelligent",yes,ranch,moderate,yes,meat rich,not independent,high,seasonal,hot,no
English Setter,Sporting,Gun,30 kg,not available in India,,"Strong willed, Mischevious, Gentle, Energetic, Intelligent",no,ranch,high,yes,not particular,not independent,high,seasonal,cold,no
English Shepherd,Herding,Herding,25 kg,not available in India,,"Adaptable, Alert, Courageous, Energetic, Friendly, Independent, Intelligent, Playful, Responsibe",yes,ranch,moderate,yes,not particular,very independent,high,seasonal,cold,no
